Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Erlanger Health,TN,Healthcare Provider,4237.0,2026-07-01,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Wisconsin Department of Health Services,WI,Health Plan,8157.0,2026-07-01,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Under Investigation,2
Virta Health,CO,Business Associate,602.0,2026-06-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Community Health Center of Buffalo Inc.,NY,Healthcare Provider,501.0,2026-06-19,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Columbia Orthopaedic Group,MO,Healthcare Provider,500.0,2026-06-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Family Health Centers of Southern Indiana,IL,Healthcare Provider,7117.0,2026-06-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Blue Fish Pediatrics,TX,Healthcare Provider,62150.0,2026-06-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Aitkin County Health and Human Services,MN,Business Associate,83114.0,2026-06-17,2026,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Under Investigation,3
Gail J May Ltd d/b/a/ Insight Optical,IL,Healthcare Provider,501.0,2026-06-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Decatur Diagnostic Laboratory Inc.,AL,Healthcare Provider,500.0,2026-06-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Ohio Living,OH,Healthcare Provider,500.0,2026-06-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Clinical Registry Solutions,NY,Business Associate,8545.0,2026-06-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Chickasaw Nation Department of Health,OK,Healthcare Provider,1607.0,2026-06-11,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Open Arms Care Corporation,TN,Healthcare Provider,893.0,2026-06-11,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Dr. Erick Perroud,MI,Healthcare Provider,7692.0,2026-06-10,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Trinity Health System,MI,Business Associate,2480.0,2026-06-10,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Under Investigation,3
Monaco & Associates Incorporated,KS,Healthcare Provider,534.0,2026-06-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Lutheran Home for the Aged,MO,Healthcare Provider,2311.0,2026-06-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Sturdy Health, Inc.",MA,Healthcare Provider,1006.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"UnitedHealth Care Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,34574.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
