Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
Erlanger Health,TN,Healthcare Provider,4237.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wisconsin Department of Health Services,WI,Health Plan,8157.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Virta Health,CO,Business Associate,602.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Community Health Center of Buffalo Inc.,NY,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Columbia Orthopaedic Group,MO,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Family Health Centers of Southern Indiana,IL,Healthcare Provider,7117.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blue Fish Pediatrics,TX,Healthcare Provider,62150.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aitkin County Health and Human Services,MN,Business Associate,83114.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gail J May Ltd d/b/a/ Insight Optical,IL,Healthcare Provider,501.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Decatur Diagnostic Laboratory Inc.,AL,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ohio Living,OH,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clinical Registry Solutions,NY,Business Associate,8545.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chickasaw Nation Department of Health,OK,Healthcare Provider,1607.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Open Arms Care Corporation,TN,Healthcare Provider,893.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Erick Perroud,MI,Healthcare Provider,7692.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trinity Health System,MI,Business Associate,2480.0,2026,Unauthorized Access/Disclosure,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Monaco & Associates Incorporated,KS,Healthcare Provider,534.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lutheran Home for the Aged,MO,Healthcare Provider,2311.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sturdy Health, Inc.",MA,Healthcare Provider,1006.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"UnitedHealth Care Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,34574.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Signature Healthcare Corporation,MA,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Minnesota Epilepsy Group, P.A.",MN,Healthcare Provider,80061.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Xsolis, Inc.",TN,Business Associate,1396519.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MVP VIP Holdco dba Heart of America Eye Care,MO,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Gay & Lesbian Community Services Center of Orange County, Inc.",CA,Healthcare Provider,75532.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
McLeod Physician Associates II,SC,Healthcare Provider,19553.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
City of Middletown,OH,Healthcare Provider,20608.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Amicus Solutions, Inc. (additional related entities may be impacted, the names of which are available upon request)",SC,Business Associate,1137.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
All About Women's Care,CO,Healthcare Provider,12000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Henry Rossi & Company, LLP",PA,Business Associate,2720.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Waveny LifeCare Network, Inc.",CT,Healthcare Provider,27113.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
